,Name,Link,Type
164,"HAYS,MrsClara Jennings",https://www.encyclopedia-titanica.org/titanic-survivor/clara-jennings-hays.html,titanic-survivor
165,"HAYS,MissMargaret Bechstein",https://www.encyclopedia-titanica.org/titanic-survivor/margaret-bechstein-hays.html,titanic-survivor
166,"HEAD,MrChristopher",https://www.encyclopedia-titanica.org/titanic-victim/christopher-head.html,titanic-victim
167,"HILLIARD,MrHerbert Henry",https://www.encyclopedia-titanica.org/titanic-victim/herbert-henry-hilliard.html,titanic-victim
168,"HIPKINS,MrWilliam Edward",https://www.encyclopedia-titanica.org/titanic-victim/william-edward-hipkins.html,titanic-victim
169,"HIPPACH,MrsIda Sophia",https://www.encyclopedia-titanica.org/titanic-survivor/ida-hippach.html,titanic-survivor
170,"HIPPACH,MissGertrude Isabelle",https://www.encyclopedia-titanica.org/titanic-survivor/jean-gertrude-hippach.html,titanic-survivor
171,"HOGEBOOM,MrsAnna Louisa",https://www.encyclopedia-titanica.org/titanic-survivor/anna-hogeboom.html,titanic-survivor
172,"HOLVERSON,MrAlexander Oskar",https://www.encyclopedia-titanica.org/titanic-victim/alexander-oskar-holverson.html,titanic-victim
173,"HOLVERSON,MrsMary Alice",https://www.encyclopedia-titanica.org/titanic-survivor/mary-alice-holverson.html,titanic-survivor
174,"HOMER,MrHarry Haven",https://www.encyclopedia-titanica.org/titanic-survivor/harry-homer.html,titanic-survivor
175,"HOYT,MrFrederick Maxfield",https://www.encyclopedia-titanica.org/titanic-survivor/frederick-maxfield-hoyt.html,titanic-survivor
176,"HOYT,MrsJane Anne",https://www.encyclopedia-titanica.org/titanic-survivor/jane-anne-hoyt.html,titanic-survivor
177,"HOYT,MrWilliam Fisher",https://www.encyclopedia-titanica.org/titanic-victim/william-fisher-hoyt.html,titanic-victim
178,"ICARD,MissRose Amélie",https://www.encyclopedia-titanica.org/titanic-survivor/amelia-icard.html,titanic-survivor
179,"ISHAM,MissAnn Eliza",https://www.encyclopedia-titanica.org/titanic-victim/anne-eliza-isham.html,titanic-victim
180,"ISMAY,MrJoseph Bruce",https://www.encyclopedia-titanica.org/titanic-survivor/j-bruce-ismay.html,titanic-survivor
181,"JONES,MrCharles Cresson",https://www.encyclopedia-titanica.org/titanic-victim/charles-cresson-jones.html,titanic-victim
182,"JULIAN,MrHenry Forbes",https://www.encyclopedia-titanica.org/titanic-victim/henry-forbes-julian.html,titanic-victim
183,"KEEPING,MrEdwin Herbert",https://www.encyclopedia-titanica.org/titanic-victim/edwin-herbert-keeping.html,titanic-victim
184,"KENT,MrEdward Austin",https://www.encyclopedia-titanica.org/titanic-victim/edward-austin-kent.html,titanic-victim
185,"KENYON,MrFrederick Roland",https://www.encyclopedia-titanica.org/titanic-victim/frederick-kenyon.html,titanic-victim
186,"KENYON,MrsMarion Estelle",https://www.encyclopedia-titanica.org/titanic-survivor/marion-kenyon.html,titanic-survivor
187,"KIMBALL,MrEdwin Nelson Jr.",https://www.encyclopedia-titanica.org/titanic-survivor/edwin-nelson-kimball.html,titanic-survivor
188,"KIMBALL,MrsSusan Gertrude",https://www.encyclopedia-titanica.org/titanic-survivor/gertrude-kimball.html,titanic-survivor
189,"KLABER,MrHerman",https://www.encyclopedia-titanica.org/titanic-victim/herman-klaber.html,titanic-victim
190,"KREUCHEN,MissEmilie",https://www.encyclopedia-titanica.org/titanic-survivor/emilie-kreuchen.html,titanic-survivor
191,"LEADER,DrAlice May",https://www.encyclopedia-titanica.org/titanic-survivor/alice-leader.html,titanic-survivor
192,"LENOX-CONYNGHAM,MrsBarbara Josephine",https://www.encyclopedia-titanica.org/titanic-biography/lenox-conyngham.html,titanic-survivor
193,"LENOX-CONYNGHAM,MasterDennis Hugh",https://www.encyclopedia-titanica.org/titanic-biography/dennis-lenox-conyngham.html,titanic-survivor
194,"LENOX-CONYNGHAM,MissEileen",https://www.encyclopedia-titanica.org/titanic-biography/eileen-lenox-conyngham.html,titanic-survivor
195,"LENOX-CONYNGHAM,MissHarriet Alice Katherine",https://www.encyclopedia-titanica.org/titanic-biography/alice-lenox-conyngham.html,titanic-survivor
196,"LEROY,MissBerthe",https://www.encyclopedia-titanica.org/titanic-survivor/berthe-leroy.html,titanic-survivor
197,"LESUEUR,MrLouis Gustave Joseph",https://www.encyclopedia-titanica.org/titanic-survivor/gustave-lesueur.html,titanic-survivor
198,"LEWY,MrErvin G.",https://www.encyclopedia-titanica.org/titanic-victim/ervin-lewy.html,titanic-victim
199,"LIND,MrErik Gustaf",https://www.encyclopedia-titanica.org/titanic-victim/erik-lindeberg-lind.html,titanic-victim
200,"LINDSTRÖM,MrsSigrid",https://www.encyclopedia-titanica.org/titanic-survivor/sigrid-lindstrom.html,titanic-survivor
201,"LINES,MrsElizabeth Lindsey",https://www.encyclopedia-titanica.org/titanic-survivor/elizabeth-lines.html,titanic-survivor
202,"LINES,MissMary Conover",https://www.encyclopedia-titanica.org/titanic-survivor/mary-conover-lines.html,titanic-survivor
203,"LONG,MrMilton Clyde",https://www.encyclopedia-titanica.org/titanic-victim/milton-clyde-long.html,titanic-victim
204,"LONGLEY,MissGretchen Fiske",https://www.encyclopedia-titanica.org/titanic-survivor/gretchen-fiske-longley.html,titanic-survivor
205,"LORING,MrJoseph Holland",https://www.encyclopedia-titanica.org/titanic-victim/joseph-holland-loring.html,titanic-victim
206,"LURETTE,MissEugénie Elise",https://www.encyclopedia-titanica.org/titanic-survivor/elise-lurette.html,titanic-survivor
207,"MADILL,MissGeorgette Alexandra",https://www.encyclopedia-titanica.org/titanic-survivor/georgette-madill.html,titanic-survivor
208,"MAGUIRE,MrJohn Edward",https://www.encyclopedia-titanica.org/titanic-victim/john-edward-maguire.html,titanic-victim
209,"MAIONI,MissRoberta Elizabeth Mary",https://www.encyclopedia-titanica.org/titanic-survivor/roberta-maioni.html,titanic-survivor
210,"MARÉCHAL,MrPierre",https://www.encyclopedia-titanica.org/titanic-survivor/pierre-marechal.html,titanic-survivor
211,"MARVIN,MrDaniel Warner",https://www.encyclopedia-titanica.org/titanic-victim/daniel-warner-marvin.html,titanic-victim
212,"MARVIN,MrsMary Graham Carmichael",https://www.encyclopedia-titanica.org/titanic-survivor/mary-marvin.html,titanic-survivor
213,"MAY,MrRichard William",https://www.encyclopedia-titanica.org/titanic-biography/richard-may.html,titanic-survivor
214,"MAY,MrStanley James",https://www.encyclopedia-titanica.org/titanic-biography/stanley-may.html,titanic-survivor
215,"MAYNÉ,MlleBerthe Antonine",https://www.encyclopedia-titanica.org/titanic-survivor/bertha-mayne.html,titanic-survivor
216,"MCCAFFRY,MrThomas Francis",https://www.encyclopedia-titanica.org/titanic-victim/thomas-francis-mccaffry.html,titanic-victim
217,"MCCARTHY,MrTimothy John",https://www.encyclopedia-titanica.org/titanic-victim/timothy-mccarthy.html,titanic-victim
218,"MCGOUGH,MrJames Robert",https://www.encyclopedia-titanica.org/titanic-survivor/james-mcgough.html,titanic-survivor
219,"MEYER,MrEdgar Joseph",https://www.encyclopedia-titanica.org/titanic-victim/edgar-meyer.html,titanic-victim
220,"MEYER,MrsLeila",https://www.encyclopedia-titanica.org/titanic-survivor/leila-meyer.html,titanic-survivor
